"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","792406","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","822991","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","857676","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","896977","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","922357","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","924237","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","958570","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","979472","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","998053","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1024271","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1051562","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1075348","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1096095","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1137411","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1167376","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1183595","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1109844","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","255510","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","248345","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","250195","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","254538","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","263212","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","267756","","","","0"
